venue_code,race_count,prediction_eligible_rate,primary_scorable_rate,feature_null_rate,parse_warning_rate,abnormal_tail_rate,tied_rate,identity_mismatch_rate,missing_source_rate
01,9132,0.9754708716600964,0.9177617170389838,0.042393902050795886,0.021243977222952255,0.0,0.000657030223390276,0.013140604467805518,0.0
02,9228,0.9814694408322496,0.9188339835283919,0.042393902050795886,0.016796705678370178,0.0,0.0006501950585175553,0.005309926311226701,0.00021673168617251842
03,9156,0.891655744866754,0.8114897335080822,0.042393902050795886,0.10190039318479685,0.0,0.02053298383573613,0.08748361730013106,0.0
04,8364,0.9777618364418939,0.9098517455762793,0.042393902050795886,0.01996652319464371,0.0,0.0010760401721664275,0.006934481109516977,0.0
05,8928,0.9873431899641577,0.9326836917562724,0.042393902050795886,0.011200716845878136,0.0,0.0007840501792114696,0.0023521505376344087,0.0
06,9600,0.9766666666666667,0.91625,0.042393902050795886,0.02,0.0,0.0005208333333333333,0.0084375,0.00010416666666666667
07,9696,0.9788572607260726,0.9157384488448845,0.042393902050795886,0.018976897689768978,0.0,0.0011344884488448846,0.008766501650165017,0.00010313531353135314
08,9612,0.9844985434873076,0.934769038701623,0.042393902050795886,0.013108614232209739,0.0,0.0007282563462338743,0.0063462338743237616,0.00010403662089055348
09,9204,0.9487179487179487,0.8956975228161669,0.042393902050795886,0.04900043459365493,0.0,0.001303780964797914,0.03911342894393742,0.0
10,9072,0.9624118165784833,0.90244708994709,0.042393902050795886,0.035493827160493825,0.0,0.007385361552028218,0.024581128747795413,0.0
11,8700,0.9773563218390805,0.9231034482758621,0.042393902050795886,0.02,0.0,0.0017241379310344827,0.010229885057471265,0.0
12,9288,0.9851421188630491,0.9238802756244616,0.042393902050795886,0.01227390180878553,0.0,0.0008613264427217916,0.003229974160206718,0.0
13,8676,0.9813278008298755,0.926002766251729,0.042393902050795886,0.016828031350852927,0.0,0.003227293683725219,0.007607192254495159,0.0
14,8664,0.974376731301939,0.9087026777469991,0.042393902050795886,0.022737765466297324,0.0,0.001615881809787627,0.011426592797783934,0.0
15,9228,0.9680320762895536,0.9103814477676636,0.042393902050795886,0.02904204594711747,0.0,0.001083658430862592,0.02080624187256177,0.0
16,8928,0.9838709677419355,0.9289874551971327,0.042393902050795886,0.014224910394265234,0.0,0.0006720430107526882,0.003472222222222222,0.00011200716845878136
17,9384,0.9746376811594203,0.9192242114236999,0.042393902050795886,0.022911338448422847,0.0,0.006606990622335891,0.011082693947144074,0.0
18,9144,0.9802055993000874,0.9308836395450568,0.042393902050795886,0.017716535433070866,0.0,0.0008748906386701663,0.007217847769028871,0.0
19,9024,0.9721852836879432,0.9210992907801419,0.042393902050795886,0.02327127659574468,0.0,0.0004432624113475177,0.015070921985815602,0.0
20,9384,0.9495950554134698,0.8951406649616368,0.042393902050795886,0.045822676896845695,0.0,0.004582267689684569,0.03889599317988065,0.0
21,9060,0.9841059602649007,0.9207505518763797,0.042393902050795886,0.01456953642384106,0.0,0.0012141280353200883,0.0051876379690949225,0.0
22,9156,0.9781564001747488,0.9154652686762779,0.042393902050795886,0.020314547837483616,0.0,0.000327653997378768,0.007972913936216689,0.00010921799912625601
23,9216,0.9771050347222222,0.9143880208333334,0.042393902050795886,0.020073784722222224,0.0,0.0005425347222222222,0.0078125,0.00010850694444444444
24,9396,0.969029374201788,0.913686675180928,0.042393902050795886,0.025329927628778205,0.0,0.0011707109408258833,0.009365687526607066,0.00010642826734780758
