model_id,prediction_type,fold_id,count,trifecta_log_loss,trifecta_brier_score,winner_log_loss,exacta_log_loss,top3_set_log_loss,second_given_first_log_loss,third_given_first_second_log_loss,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,actual_combo_rank_mean,actual_combo_rank_median,mean_reciprocal_rank,per_race_log_loss_p90,per_race_log_loss_p95,per_race_log_loss_p99,max_per_race_log_loss,true_probability_below_1e_3,true_probability_below_1e_4,true_probability_below_1e_6,prediction_coverage,normal_unique_log_loss,abnormal_tail_unique_log_loss
B0_uniform,raw,screening_fold_1,12822,4.787491742782046,0.991666666666667,1.7917594692280547,3.401197381662155,2.9957322735539913,1.6094379124340996,1.3862943611198904,0.06871002963656216,0.1576197161129309,0.24418967399781624,0.4098424582748401,0.5463266261113711,28.83247543284979,15.0,0.16783867486080983,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,calibrated,screening_fold_1,12822,4.787491742782046,0.991666666666667,1.7917594692280547,3.401197381662155,2.9957322735539913,1.6094379124340996,1.3862943611198904,0.06871002963656216,0.1576197161129309,0.24418967399781624,0.4098424582748401,0.5463266261113711,28.83247543284979,15.0,0.16783867486080983,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B1_global_frequency,raw,screening_fold_1,12822,4.18333367615602,0.9756651374522414,1.3660279614372164,2.8316397073105124,2.6505449645131307,1.4656117458732965,1.3516939688455083,0.06871002963656216,0.18015910154422088,0.2606457650912494,0.4098424582748401,0.5840742473873031,26.255420371236937,15.0,0.174616617081439,5.62769739559338,6.010580899004834,6.612340327975351,7.048850057765476,0.0035095928872250818,0.0,0.0,1.0,4.18333367615602,
B1_global_frequency,calibrated,screening_fold_1,12822,4.183297986450146,0.9756655450107442,1.3660253210338786,2.8315919799,2.6505041950640043,1.4655666588661207,1.3517060065501467,0.06871002963656216,0.18015910154422088,0.2606457650912494,0.4098424582748401,0.5840742473873031,26.255420371236937,15.0,0.174616617081439,5.632536713588644,6.016712523087997,6.620503006848237,7.058486041641603,0.0035095928872250818,0.0,0.0,1.0,4.183297986450146,
B2_hierarchical_frequency,raw,screening_fold_1,12822,4.183200315106177,0.9749834564269023,1.3532493777557564,2.816992771488383,2.639254067890932,1.463743393732626,1.3662075436177938,0.06902199344875995,0.1788332553423803,0.26275152082358444,0.40851661207299955,0.5850881297769459,26.757136172204024,15.0,0.17584064723488824,5.715963471826053,6.151637098209907,7.043382956376209,8.274829039598613,0.013726407736702542,0.0,0.0,1.0,4.183200315106177,
B2_hierarchical_frequency,calibrated,screening_fold_1,12822,4.182848212693113,0.975012119219424,1.353627044353334,2.817741287443777,2.6398923231466114,1.4641142430904428,1.3651069252493362,0.06902199344875995,0.1788332553423803,0.26275152082358444,0.40851661207299955,0.5850881297769459,26.757136172204024,15.0,0.17584064723488824,5.668310353323771,6.089921733667068,6.952509796249033,8.14627823904238,0.011230697239120261,0.0,0.0,1.0,4.182848212693113,
B3_autoregressive_hierarchical_frequency,raw,screening_fold_1,12822,4.157603305228495,0.9742008715879531,1.3416916788351827,2.8048573677162207,2.629139744464674,1.4631656888810387,1.3527459375122741,0.06948993916705662,0.1786772734362814,0.26173763843394166,0.4119482140071752,0.5864139759787864,26.348619560131024,15.0,0.17613386829944658,5.687578366687507,6.065628173049955,6.790887740143083,8.1879322764349,0.006941194821400718,0.0,0.0,1.0,4.157603305228495,
B3_autoregressive_hierarchical_frequency,calibrated,screening_fold_1,12822,4.157478310559472,0.9741964099489707,1.3415651153094867,2.8048681370308226,2.6296419604069374,1.4633030217213356,1.3526101735286489,0.06948993916705662,0.1786772734362814,0.26173763843394166,0.4119482140071752,0.5864139759787864,26.348619560131024,15.0,0.17613386829944658,5.658960467199694,6.026893008440129,6.736681107850921,8.097330253926655,0.005771330525659024,0.0,0.0,1.0,4.157478310559472,
B0_uniform,raw,screening_fold_2,12953,4.787491742782046,0.991666666666667,1.791759469228055,3.4011973816621555,2.9957322735539913,1.6094379124340998,1.3862943611198901,0.07257006098973211,0.161198178028256,0.24612058982475102,0.4190535011194318,0.5568594148073805,28.208368717671583,15.0,0.17247936368282252,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,calibrated,screening_fold_2,12953,4.787491742782046,0.991666666666667,1.791759469228055,3.4011973816621555,2.9957322735539913,1.6094379124340998,1.3862943611198901,0.07257006098973211,0.161198178028256,0.24612058982475102,0.4190535011194318,0.5568594148073805,28.208368717671583,15.0,0.17247936368282252,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
