status,eligible_for_model_training,purpose,hypothesis_id,parent_hypothesis_ids,existing_parent_hypothesis_ids,addendum_parent_hypothesis_ids,all_parent_ids_exist,addendum_dag_cycle_member,orphan_candidate,orphan_reason,dependency_review_status
provisional,false,hypothesis_addendum_sidecar_review_only,H034,H012;H015;H019,H012;H015;H019,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H035,H012;H013,H012;H013,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H036,H015;H017;H019,H015;H017;H019,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H037,H015;H019;H020,H015;H019;H020,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H038,H018;H010;H011,H018;H010;H011,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H039,H015;H017;H019,H015;H017;H019,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H040,H022;H023,H022;H023,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H041,H016;H021,H016;H021,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H042,H007;H008;H010,H007;H008;H010,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H043,H021;H016,H021;H016,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H044,H029,H029,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H045,H001;H004;H021,H001;H004;H021,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H046,H021;H010;H011,H021;H010;H011,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H047,H022;H021,H022;H021,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H048,H010;H018;H019,H010;H018;H019,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H049,H023;H021,H023;H021,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H050,H021;H001;H005,H021;H001;H005,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H051,H050;H002;H005,H002;H005,H050,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H052,H045;H001;H004,H001;H004,H045,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H053,H026;H029,H026;H029,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H054,H015;H017;H020,H015;H017;H020,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H055,H016;H019;H012,H016;H019;H012,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H056,H019;H042,H019,H042,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H057,H019;H015,H019;H015,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H058,H025;H027,H025;H027,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H059,H022;H011,H022;H011,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H060,H047;H022,H022,H047,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H061,H049,,H049,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H062,H043;H021,H021,H043,true,false,false,connected_to_addendum_dependency,valid
