path,sha256
configs/boatrace_model_evaluation_v1_1.json,2347e7e0467bad64084eff01844b314d0e2533e3131f73816295fec8563e535e
research/core_decision_experiments_v1.json,f91a35e448b7b0b10ed78dc2437de4f8d9b678bf9a1883218c5d11a859ea569c
research/data_gap_matrix_v1.csv,70a6710ff2ae7e483f6194d15766b59a5a176d0da98c280c0072b275e1d45127
research/feature_research_map_v1.csv,94c6f51dc76ac92d0332019c1b2905afe878ac493f92abe6e7a8767899836fd0
research/hypothesis_dependency_graph_v1.json,0e88440a82ee6efcf8de5c686f78f085bf5fa6593d3601febce43379456f8d1a
research/hypothesis_execution_readiness_v1.csv,5f9781c6240045ab3712d0320e5354f4cf2553979a7be7f781c0ffe7db509d58
research/hypothesis_registry_v2.json,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83
research/hypothesis_registry_v2.md,7dc8c0ced312a9880631eda9f489cc9c8092001c3bcb4fb056d9e53a7d127060
research/research_stage_gates_v1.json,14a6ff0d945c4df4779a0a5c1a2d8f3def126d0b962fa570920743b0a7a274ed
results/boatrace_model_research/snapshots/research_v0_136183_55f32b3538a9/dataset_manifest.json,a59854ae6691c7e0875fddad45211d1cf4acb47458132d5c17a7e506ee396af0
results/boatrace_model_research/snapshots/research_v0_1_148956_b69fb714835e/dataset_manifest.json,225882760ae06efe4e8363cea4e4a1e919d74ed848be29e572ab1617fa6f5ae5
